IP:Port,Loss,Latency
162.159.195.19:891,0%,10.02
188.114.99.26:903,0%,10.03
162.159.195.156:7103,0%,10.03
162.159.195.182:7156,0%,10.04
162.159.195.145:1002,0%,10.04
188.114.99.129:8742,0%,10.04
188.114.99.160:500,0%,10.05
162.159.192.98:3476,0%,10.05
162.159.192.53:934,0%,10.05
162.159.192.137:864,0%,10.06
162.159.195.173:1014,0%,10.06
162.159.192.0:864,0%,10.07
188.114.98.226:1002,0%,10.07
188.114.99.26:8319,0%,10.07
162.159.195.48:2506,0%,10.08
188.114.98.137:5279,0%,10.08
162.159.195.61:1074,0%,10.08
188.114.99.6:3854,0%,10.08
162.159.192.150:968,0%,10.09
188.114.99.181:1387,0%,10.10
162.159.192.28:8854,0%,10.11
162.159.192.91:2506,0%,10.12
188.114.99.160:891,0%,10.12
162.159.192.168:4500,0%,10.13
162.159.192.10:3138,0%,10.13
162.159.192.91:4233,0%,10.13
188.114.99.108:1387,0%,10.13
188.114.99.111:2506,0%,10.14
188.114.99.97:894,0%,10.14
188.114.98.194:3138,0%,10.15
188.114.99.186:1014,0%,10.16
188.114.98.246:8854,0%,10.16
162.159.192.110:1002,0%,10.16
188.114.99.44:1074,0%,10.16
162.159.195.57:8742,0%,10.16
162.159.195.77:945,0%,10.18
162.159.192.21:7281,0%,10.18
188.114.98.240:3476,0%,10.19
188.114.98.244:854,0%,10.21
188.114.99.12:7103,0%,10.21
162.159.195.57:2371,0%,10.22
162.159.195.103:894,0%,10.22
188.114.98.10:955,0%,10.22
162.159.195.252:4500,0%,10.24
162.159.192.111:894,0%,10.25
162.159.192.35:4198,0%,10.25
162.159.192.140:7281,0%,10.26
188.114.99.130:988,0%,10.28
162.159.195.90:3138,0%,10.30
188.114.99.61:3854,0%,10.30
162.159.192.70:1387,0%,10.31
162.159.195.23:2506,0%,10.33
188.114.98.3:7152,0%,10.33
188.114.98.135:928,0%,10.35
162.159.195.231:880,0%,10.35
188.114.98.130:854,0%,10.38
188.114.98.35:934,0%,10.39
