IP:Port,Loss,Latency
188.114.99.170:1180,0%,8.01
162.159.195.73:4233,0%,8.01
188.114.97.151:1002,0%,8.02
162.159.192.15:988,0%,8.03
162.159.195.133:3476,0%,8.03
162.159.195.138:3138,0%,8.04
162.159.192.122:500,0%,8.04
188.114.97.169:859,0%,8.05
162.159.192.44:1014,0%,8.05
162.159.192.94:500,0%,8.05
188.114.98.32:945,0%,8.06
162.159.192.174:854,0%,8.06
188.114.97.128:968,0%,8.06
162.159.192.53:8319,0%,8.07
162.159.195.248:4233,0%,8.08
162.159.195.89:880,0%,8.09
162.159.195.160:891,0%,8.10
162.159.192.225:1070,0%,8.11
162.159.192.15:864,0%,8.11
188.114.97.192:946,0%,8.12
188.114.98.23:500,0%,8.12
162.159.192.132:928,0%,8.13
188.114.97.129:878,0%,8.14
162.159.192.56:7156,0%,8.17
162.159.192.58:1387,0%,8.19
162.159.192.221:1018,0%,8.19
162.159.192.169:1070,0%,8.20
188.114.97.173:987,0%,8.21
188.114.97.228:4177,0%,8.21
162.159.192.85:987,0%,8.22
162.159.195.195:8886,0%,8.22
188.114.97.236:1843,0%,8.23
162.159.195.117:4198,0%,8.23
162.159.192.155:946,0%,8.23
188.114.96.156:864,0%,8.24
162.159.192.152:7103,0%,8.24
162.159.192.141:878,0%,8.25
162.159.195.154:946,0%,8.25
188.114.99.251:1074,0%,8.26
162.159.195.145:943,0%,8.26
188.114.98.21:908,0%,8.27
162.159.195.82:942,0%,8.27
162.159.195.34:988,0%,8.27
188.114.99.67:7156,0%,8.28
162.159.195.205:859,0%,8.28
162.159.195.182:943,0%,8.28
162.159.195.180:934,0%,8.29
188.114.98.202:7559,0%,8.29
188.114.97.28:1070,0%,8.30
188.114.98.125:3854,0%,8.30
188.114.98.123:928,0%,8.30
188.114.99.63:1843,0%,8.31
188.114.98.14:8319,0%,8.31
188.114.97.40:7103,0%,8.31
188.114.98.203:8319,0%,8.31
188.114.98.237:1018,0%,8.32
162.159.195.133:894,0%,8.32
162.159.192.211:3854,0%,8.32
188.114.98.58:854,0%,8.33
188.114.96.162:5279,0%,8.33
162.159.195.87:3581,0%,8.33
188.114.99.176:1002,0%,8.33
162.159.195.117:934,0%,8.33
162.159.195.108:8886,0%,8.33
162.159.192.77:968,0%,8.33
188.114.99.166:7103,0%,8.33
188.114.99.124:903,0%,8.34
188.114.96.130:1070,0%,8.34
162.159.195.43:5956,0%,8.34
188.114.98.119:7156,0%,8.34
162.159.195.69:500,0%,8.36
162.159.195.40:903,0%,8.36
188.114.97.101:945,0%,8.36
162.159.195.18:946,0%,8.36
162.159.195.35:1701,0%,8.36
188.114.96.94:903,0%,8.38
162.159.192.172:1002,0%,8.39
162.159.192.106:939,0%,8.39
188.114.98.47:3581,0%,8.39
188.114.98.47:1387,0%,8.39
188.114.99.167:864,0%,8.40
188.114.96.181:500,0%,8.41
162.159.192.97:3476,0%,8.41
188.114.97.214:3581,0%,8.41
188.114.99.212:1002,0%,8.42
188.114.97.223:8854,0%,8.42
162.159.195.206:1843,0%,8.43
188.114.96.248:943,0%,8.44
188.114.96.176:3854,0%,8.45
188.114.98.235:3476,0%,8.45
162.159.192.127:3138,0%,8.45
188.114.96.237:939,0%,8.46
188.114.97.76:928,0%,8.46
162.159.192.54:988,0%,8.47
162.159.192.149:939,0%,8.48
188.114.96.61:908,0%,8.50
162.159.192.154:934,0%,8.51
188.114.99.126:3581,0%,8.51
188.114.96.11:1843,0%,8.52
162.159.192.157:1074,0%,8.52
188.114.97.223:1843,0%,8.53
188.114.97.80:987,0%,8.54
188.114.98.187:500,0%,8.54
188.114.96.51:864,0%,8.54
188.114.98.236:8854,0%,8.54
188.114.97.150:943,0%,8.55
162.159.192.209:500,0%,8.55
188.114.99.229:3476,0%,8.56
188.114.97.36:3581,0%,8.56
188.114.96.6:2408,0%,8.56
162.159.192.99:894,0%,8.56
162.159.195.48:1180,0%,8.58
188.114.99.204:942,0%,8.59
188.114.97.151:2408,0%,8.60
188.114.96.128:7281,0%,8.61
162.159.192.147:945,0%,8.61
188.114.99.29:4233,0%,8.62
162.159.195.50:1018,0%,8.64
188.114.98.93:878,0%,8.64
162.159.192.161:5279,0%,8.66
162.159.192.47:955,0%,8.67
162.159.195.253:7156,0%,8.67
162.159.195.244:939,0%,8.67
188.114.97.27:942,0%,8.68
188.114.96.63:890,0%,8.69
188.114.99.214:4198,0%,8.69
188.114.97.34:7152,0%,8.69
188.114.96.233:854,0%,8.69
188.114.99.73:7281,0%,8.70
188.114.99.69:2408,0%,8.70
188.114.96.155:5279,0%,8.71
188.114.99.193:7559,0%,8.71
162.159.195.203:955,0%,8.72
162.159.195.211:3476,0%,8.72
188.114.97.70:1387,0%,8.73
188.114.96.250:4233,0%,8.73
188.114.99.209:4500,0%,8.74
162.159.192.78:878,0%,8.74
188.114.98.65:8854,0%,8.74
188.114.98.213:2506,0%,8.74
162.159.192.205:1002,0%,8.74
188.114.96.13:1843,0%,8.75
188.114.98.55:1387,0%,8.76
188.114.99.162:2371,0%,8.76
188.114.97.141:1070,0%,8.76
188.114.98.47:8854,0%,8.76
188.114.96.48:2506,0%,8.76
188.114.97.239:2408,0%,8.76
188.114.99.1:3581,0%,8.76
188.114.96.83:1387,0%,8.77
188.114.99.88:5279,0%,8.77
188.114.99.238:1074,0%,8.77
188.114.96.181:908,0%,8.78
188.114.98.113:8742,0%,8.78
188.114.98.141:4177,0%,8.78
188.114.97.206:1180,0%,8.78
162.159.195.175:4233,0%,8.79
188.114.98.143:955,0%,8.79
188.114.96.245:3854,0%,8.79
188.114.99.205:878,0%,8.79
188.114.97.227:1018,0%,8.80
188.114.97.30:928,0%,8.80
162.159.192.55:1018,0%,8.80
188.114.96.146:8742,0%,8.81
188.114.97.226:1070,0%,8.81
188.114.97.154:8319,0%,8.81
162.159.192.159:854,0%,8.81
188.114.99.46:5956,0%,8.81
188.114.97.120:7152,0%,8.81
162.159.192.220:7156,0%,8.81
162.159.192.10:988,0%,8.81
188.114.98.31:864,0%,8.82
188.114.96.243:5279,0%,8.82
188.114.97.100:1180,0%,8.82
162.159.192.193:942,0%,8.82
188.114.98.155:3138,0%,8.82
188.114.99.173:7103,0%,8.82
162.159.192.56:1014,0%,8.82
162.159.192.147:942,0%,8.83
188.114.98.92:5956,0%,8.83
